"",,Science- and,,
Iowa . . . . . . . . . . . . . . . .,"72,670 2,088","69,470 2,534 75,860 1,761","56,070 1,815","54,110 1,438"
Kansas . . . . . . . . . . . . . .,"74,560 2,748","69,610 3,179 73,110 3,401","52,380 1,110","56,150 1,972"
Kentucky . . . . . . . . . . . .,"72,010 2,881","70,470 2,525 69,900 3,793","52,210 1,404","52,350 1,769"
Louisiana . . . . . . . . . . . .,"71,450 3,416","68,680 2,916 67,260 3,700","51,100 1,022","52,800 1,686"
Maine . . . . . . . . . . . . . . .,"63,610 1,887","66,670 6,246 72,950 4,630","53,690 4,170","56,370 4,437"
Maryland . . . . . . . . . . . .,"99,690 2,307","83,640 1,917 94,220 2,322","70,420 2,468","74,140 1,691"
Massachusetts . . . . . . .,"97,470 1,879","86,890 3,394 92,170 1,963","71,280 2,668","73,200 1,166"
Michigan  . . . . . . . . . . . .,"84,240 1,312","72,910 2,260 76,340 1,253","57,730 1,847","58,420 1,286"
Minnesota . . . . . . . . . . .,"83,470 1,598","75,510 1,753 85,760 2,158","59,560 2,351","63,600 1,655"
Mississippi . . . . . . . . . . .,"60,390 3,004","63,400 4,680 60,760 3,202","43,950 2,231","49,220 2,389"
Missouri . . . . . . . . . . . . .,"72,650 2,318","70,920 2,455 74,070 2,234","49,880 1,229","54,990 1,517"
Montana . . . . . . . . . . . . .,"64,790 3,305","66,230 6,923 62,430 3,089","49,110 2,554","50,890 2,319"
Nebraska . . . . . . . . . . . .,"73,130 3,287","70,970 3,318 75,650 4,146","55,160 1,876","55,590 2,113"
Nevada . . . . . . . . . . . . . .,"73,030 2,426","75,640 3,966 68,250 3,801","56,130 3,395","61,570 2,862"
New Hampshire . . . . . .,"86,810 3,346","76,860 6,721 82,670 2,728","62,300 3,290","64,540 2,697"
New Jersey . . . . . . . . . .,"98,140 2,145","89,370 2,886 94,190 2,717","68,170 2,743","73,480 1,450"
New Mexico. . . . . . . . . .,"72,850 3,394","73,920 6,097 74,910 7,153","54,430 2,907","54,480 3,294"
New York . . . . . . . . . . . .,"86,490 1,006","82,570 1,456 84,460 1,703","70,960 1,494","70,790 1,236"
North Carolina . . . . . . .,"78,780 1,830","70,840 2,694 74,180 2,257","50,950 1,044","56,260 1,400"
North Dakota . . . . . . . .,"67,790 3,679","61,500 3,806 64,480 3,835","55,780 4,535","57,580 4,594"
Ohio . . . . . . . . . . . . . . . .,"80,570 1,333","72,640 1,440 78,070 1,979","61,470 1,185","58,070 1,344"
Oklahoma . . . . . . . . . . .,"68,720 2,769","66,470 3,286 68,450 3,480","48,280","878 51,880 1,028"
Oregon . . . . . . . . . . . . . .,"81,690 1,985","81,240 3,795 79,180 3,864","60,210 7,319","60,240 2,466"
Pennsylvania . . . . . . . . .,"81,530 1,147","76,460 1,545 79,720 1,871","63,520 1,049","61,900 737"
Rhode Island . . . . . . . . .,"82,270 4,176","80,130 10,990 87,610 7,827","67,410 6,537","64,230 3,005"
South Carolina . . . . . . .,"70,160 2,603","71,220 4,263 67,450 3,045","50,660 1,774","54,830 1,791"
South Dakota . . . . . . . .,"62,790 2,651","66,960 4,233 67,290 6,378","50,500 1,700","50,060 2,434"
Tennessee . . . . . . . . . . .,"71,960 1,904","66,350 2,841 71,280 2,261","51,250 1,325","55,280 1,404"
Texas . . . . . . . . . . . . . . . .,"82,250 1,067","75,880 1,421 79,800 1,633","58,610","720 61,800 790"
Utah . . . . . . . . . . . . . . . .,"83,580 3,275","65,510 3,820 84,720 3,239","54,970 2,134","57,090 2,311"
Vermont . . . . . . . . . . . . .,"69,410 2,854","68,340 6,124 63,400 5,903","57,040 5,123","56,460 2,807"
Virginia . . . . . . . . . . . . . .,"97,550 2,038","78,770 1,893 91,940 1,986","58,310 1,694","72,610 1,577"
Washington . . . . . . . . . .,"102,900 1,353","82,750 2,279 89,140 3,253","69,920 3,299","69,870 2,485"
West Virginia  . . . . . . . .,"67,730 5,559","64,330 4,455 66,360 6,664","48,990 1,970","51,780 2,756"
Wisconsin . . . . . . . . . . .,"76,230 1,553","71,740 1,578 75,940 1,751","54,280 1,113","59,040 1,601"
Wyoming . . . . . . . . . . . .,"68,920 4,620","68,200 5,186 73,480 14,220","57,610 5,445","50,270 4,213"
